No,Address,City,State,Zip,Time Zone
1,42 Springbrook Trl,Sparta,NJ,07871,UTC - 5 EST
2,15491 SW 12th St,Sunrise,FL,33326,UTC - 5 EST
3,19 Ellsworth Ave,Morristown,NJ,07960,UTC - 5 EST
4,851 Springfield Ave,Summit,NJ,07901,UTC - 5 EST
5,196 Ridgewood Ave,Newark,NJ,07108,UTC - 5 EST
6,58 Virginia Drive,Waterford,NJ,08004,UTC - 5 EST
7,3 Sefel Ave,Plumsted,NJ,08514,UTC - 5 EST
8,227 N Church Rd,Franklin,NJ,07416,UTC - 5 EST
9,882 Dewey St,Union,NJ,07083,UTC - 5 EST
10,883 Anna St,Elizabeth,NJ,07201,UTC - 5 EST
11,20 Roszel Rd,Princeton,NJ,08540,UTC - 5 EST
12,62 Morgan Ct,Bedminster,NJ,07921,UTC - 5 EST
13,6 E Lancaster Ave,Ardmore,PA,19003,UTC - 5 EST
14,264 S County Line Rd,Souderton,PA,18964,UTC - 5 EST
15,2645 Shady Ln,Lansdale,PA,19446,UTC - 5 EST
16,250 Mapleflower Rd,Glenmoore,PA,19343,UTC - 5 EST
17,5019 Broad Ave,Altoona,PA,16601,	UTC - 5 EST
18,1807 W Market St,Akron,OH,44313,UTC - 5 EST
19,1211 Dyberry Pl,Honesdale,PA,18431,UTC - 5 EST